#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos,
70,Kids Tv Thailand - เพลงเด็กและการ์ตูน @UC1JZiF288_cx-TyT8ll2XzQ,4M,-,Thailand,,1.2M,Kids Tv Thailand - เพลงเด็กและการ์ตูน,4450000,1709315983,1623,
71,Fairy Doll TV @UC-WtejgzilicfCBGf9nXOlQ,4M,-,Thailand,,1.2M,Fairy Doll TV,4540000,1883917211,642,
72,Maser @UCKWQpPpegzXL7sJDMf2UUJA,3.9M,-,Thailand,,1.2M,Maser,4060000,863942357,3076,
73,OfficialWhiteMusic @UCNdqGgAK2u-EucN4IAIqP7Q,3.9M,-,Thailand,,1.2M,OfficialWhiteMusic,4350000,4514981438,3025,
74,Nation online @UCIoFfVIOrRRbI-WVdDhTTwg,3.8M,-,Thailand,,1.2M,NationTV,5870000,1445303674,34988,
75,Bearhug @UCOqODGR-AoOTkxB74sc1Xyw,3.8M,-,Thailand,,1.1M,Bearhug,3870000,1117655645,872,
76,Primitive Tool @UC9LymR6i2IM4QfSNuOkBzNA,3.8M,-,Thailand,,1.1M,Primitive Tool,4310000,915909915,260,
77,ชีวิตสดใส / Bright Side Thai @UC1heMiOB4n8xeOlgnHbOdbg,3.8M,-,Thailand,,1.1M,ชีวิตสดใส / Bright Side Thai,4330000,1209252333,5771,
78,Ajumma Nammy @UCDWxWFsFiOkI-104ODwAXHw,3.7M,0.50%,Thailand,,1.1M,Ajumma Nammy,4730000,1500557955,1020,
79,KunTi @UCnaIbiEF7XWNZ3ZsHoqkErg,3.7M,-,Thailand,,1.1M,KunTi,4210000,1392038197,1019,
80,TOR Torpedo @UCvE7UoDDYsX21WRR0lR3Z5g,3.7M,0.10%,Thailand,,1.1M,TOR Torpedo,4790000,3623344115,2288,
81,Oppa Thuchy @UCopuDbhVg-4V5X8-XZ6w-bA,3.7M,0.20%,Thailand,,1.1M,Oppa Thuchy,4190000,900591090,1133,
82,The Troll Cambodia @UC6ngF2U8nAfJE68GQZ8jxKg,3.6M,1.30%,Thailand,,1.1M,The Troll Cambodia,5880000,2746113244,691,
83,Deklaaon Channel @UCXALRk2-YkcpHSm_ZSvZqfw,3.6M,0.10%,Thailand,,1.1M,Deklaaon Channel,3850000,1852938372,2393,
84,Troom Troom TH @UCZr7drqblTlL3Xr1XvBZxXw,3.6M,-,Thailand,,1.1M,Troom Troom TH,3840000,1663339008,2350,
85,CHANGE2561 @UCISGtaTLXAEliMLp1VJZsSg,3.5M,-,Thailand,,1.1M,CHANGE2561,4470000,2948554178,17243,
86,BlackMoon @UCIeIzDsyOOenrw35gK-Dwog,3.5M,-,Thailand,,1.1M,BlackMoon,3990000,791122434,930,
87,SoftpomzChannel @UCHEj6tiT_WSe8Ny0OfcILiA,3.5M,0.10%,Thailand,,1M,SoftpomzChannel,3500000,618232116,677,
88,ขอบสนาม [OFFICIAL] @UCkN80VKrPiKYyz7ByBaRosQ,3.4M,-,Thailand,,1M,ขอบสนาม [Official],3730000,988764503,5371,
89,BabyBus—เพลงเด็กและการ์ตูน @UCKpFt-Nh3A2Sg--mLmCebZQ,3.4M,-,Thailand,,1M,BabyBus—เพลงเด็กและการ์ตูน,4640000,2476393353,823,
90,NONTAWAT N.T @UCsEp7MiY4llAPrICEFZ3VWg,3.4M,-,Thailand,,1M,NONTAWAT N.T,3580000,361161130,504,
91,พี่เสือ มาแล้ว @UC-6N7qlNd4KIzfSy1mrR2kw,3.4M,-,Thailand,,1M,พี่เสือ มาแล้ว,3420000,419838593,1081,
92,ใยไหมชวนเล่น Zanee Family @UCgu4W8FjeCeO8nj38Qg4CSQ,3.4M,-,Thailand,,1M,ใยไหมชวนเล่น Zanee Family,3390000,69237677,344,
93,GMMTV RECORDS @UC_mceLIVkQun_Xcu1KBmfdw,3.4M,-,Thailand,,1M,GMMTV RECORDS,3860000,2070724717,843,
94,Superjeew Official @UCWX9dtRV_sK4TNTAl8yaPTA,3.3M,-,Thailand,,1M,Superjeew Official,4920000,1748718187,4430,
95,Garena RoV Thailand @UCy19QXxbCHh8qVVCbuGk-ig,3.3M,-,Thailand,,1M,Garena RoV Thailand,3560000,980516525,4382,
96,GTHchannel @UCTL0lRmUQ-rH4YZAteV7LzA,3.3M,0.10%,Thailand,,996K,GTHchannel,3420000,2037514921,1626,
97,softpomz @UCknUPd53AOtzVCztEXdHNKg,3.3M,0.20%,Thailand,,984K,softpomz,3440000,772938145,926,
98,zommarie @UCwRhQ-evbGJFwcTZtm8imLg,3.3M,-,Thailand,Music,981K,zommarie,3350000,531147339,1266,
99,RachYO @UC2zm8fkAPgYvH7m5LZ2QsRw,3.2M,-,Thailand,,972K,RachYO,3290000,802647840,104,
100,Ozrealman @UCcjysEwhh3yIzuZIec275aQ,3.2M,0.40%,Thailand,,969K,Ozrealman,3660000,1367145844,1194,
